NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	219	-0.5370037	-2.8566713	0.0	0.0	0.0	4419	tags=60%, list=27%, signal=81%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	217	-0.2726552	-1.4202212	0.0	0.11342273	0.089	4547	tags=33%, list=28%, signal=45%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	156	-0.25288376	-1.2901866	0.05357143	0.24287196	0.259	4788	tags=40%, list=29%, signal=56%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	163	-0.25435144	-1.2668056	0.056338027	0.2148598	0.303	3227	tags=33%, list=20%, signal=40%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	194	-0.24156757	-1.2540625	0.0	0.18685628	0.324	3207	tags=23%, list=20%, signal=28%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	218	-0.21938737	-1.1598111	0.033333335	0.32065952	0.555	2023	tags=18%, list=12%, signal=21%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	50	-0.28255937	-1.1398315	0.27513227	0.31758654	0.61	2063	tags=28%, list=13%, signal=32%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	220	-0.20360559	-1.0851532	0.21212122	0.40472847	0.761	2339	tags=19%, list=14%, signal=21%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	170	-0.19542205	-0.98732483	0.5409836	0.65309995	0.928	4343	tags=37%, list=27%, signal=50%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	58	-0.22481067	-0.94877845	0.57309943	0.7113405	0.959	1762	tags=19%, list=11%, signal=21%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	210	-0.17904042	-0.9236982	0.75	0.7173439	0.969	3471	tags=27%, list=21%, signal=34%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	59	-0.123011515	-0.5124523	1.0	0.9993971	0.996	5787	tags=37%, list=35%, signal=57%	
