NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	220	-0.51855	-2.7131832	0.0	0.0	0.0	4631	tags=54%, list=23%, signal=69%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	239	-0.49647486	-2.6258645	0.0	0.0	0.0	4782	tags=50%, list=24%, signal=64%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	134	-0.39228144	-1.8964126	0.0	4.229092E-4	0.004	3722	tags=35%, list=18%, signal=43%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	87	-0.38547626	-1.7480133	0.0	0.0017360806	0.023	7565	tags=67%, list=37%, signal=106%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	227	-0.3211687	-1.658884	0.0	0.0033703172	0.055	4430	tags=34%, list=22%, signal=43%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	164	-0.2558078	-1.277742	0.06139154	0.13103639	0.913	6577	tags=40%, list=32%, signal=59%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	59	-0.28041723	-1.1900041	0.19141914	0.22515468	0.994	3705	tags=22%, list=18%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	42	-0.27849922	-1.0850916	0.3219512	0.39887312	1.0	2516	tags=24%, list=12%, signal=27%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	45	-0.26511133	-1.045397	0.3824	0.44263932	1.0	3264	tags=22%, list=16%, signal=26%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	33	-0.1578621	-0.5861475	0.977707	1.0	1.0	5503	tags=27%, list=27%, signal=37%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	135	-0.10593946	-0.52220106	1.0	0.9994213	1.0	7449	tags=36%, list=37%, signal=57%	
