NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	213	-0.56804466	-2.8160768	0.0	0.0	0.0	4886	tags=61%, list=24%, signal=79%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	232	-0.5189924	-2.5895615	0.0	0.0	0.0	4803	tags=51%, list=23%, signal=66%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	136	-0.37255874	-1.7294333	0.0	0.0027965936	0.028	5310	tags=42%, list=26%, signal=56%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	228	-0.3369639	-1.6733892	0.0	0.0038841695	0.052	4773	tags=36%, list=23%, signal=46%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	59	-0.40669188	-1.6410282	0.00672043	0.004631946	0.077	7182	tags=53%, list=35%, signal=80%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	164	-0.29509205	-1.4106214	0.021028038	0.044581834	0.591	7159	tags=45%, list=35%, signal=67%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	70	-0.3240538	-1.3778437	0.04935065	0.053756353	0.726	5985	tags=40%, list=29%, signal=56%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	42	-0.34145784	-1.3276596	0.10614525	0.07718868	0.893	2091	tags=24%, list=10%, signal=26%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	219	-0.20670697	-1.0273983	0.40574712	0.59448224	1.0	6151	tags=31%, list=30%, signal=44%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	206	-0.19717847	-0.9693544	0.5688282	0.69425255	1.0	4420	tags=25%, list=21%, signal=31%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	45	-0.22665066	-0.87222594	0.66206896	0.872642	1.0	4537	tags=24%, list=22%, signal=31%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	129	-0.1647951	-0.7583763	0.91746414	0.99859285	1.0	7226	tags=33%, list=35%, signal=51%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	34	-0.20438755	-0.73716867	0.8563135	0.9423512	1.0	10206	tags=65%, list=49%, signal=127%	
