NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	87	-0.64296407	-2.8814793	0.0	0.0	0.0	2723	tags=51%, list=13%, signal=58%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	138	-0.37265727	-1.8120605	0.0	0.003062121	0.005	4332	tags=32%, list=21%, signal=40%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	223	-0.3060561	-1.5805479	0.006134969	0.018575458	0.05	5533	tags=40%, list=27%, signal=55%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	202	-0.193776	-0.9836193	0.49425286	1.0	0.995	2656	tags=17%, list=13%, signal=20%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	51	-0.22113338	-0.9080991	0.6411043	1.0	1.0	2454	tags=20%, list=12%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	115	-0.18756326	-0.8746513	0.77682406	1.0	1.0	4059	tags=29%, list=20%, signal=36%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	247	-0.15586826	-0.82755893	0.9704142	1.0	1.0	2731	tags=14%, list=13%, signal=16%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	220	-0.15681706	-0.8048093	0.972973	1.0	1.0	2318	tags=12%, list=11%, signal=13%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	239	-0.15100367	-0.79404753	0.97604793	1.0	1.0	3231	tags=16%, list=16%, signal=19%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	165	-0.15118195	-0.76032025	0.9845361	1.0	1.0	5924	tags=33%, list=29%, signal=46%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	136	-0.15415487	-0.74288946	0.9859155	1.0	1.0	3278	tags=15%, list=16%, signal=18%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	219	-0.09268297	-0.46768805	1.0	1.0	1.0	5373	tags=25%, list=26%, signal=34%	
