NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	160	0.44939104	2.0640187	0.0	0.0	0.0	4250	tags=45%, list=21%, signal=56%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	219	0.42146143	2.0356202	0.0	0.0	0.0	4785	tags=42%, list=23%, signal=55%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	125	0.43145537	1.9149854	0.0	0.0021645052	0.005	5276	tags=44%, list=26%, signal=59%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	42	0.50918776	1.8843013	0.0017035775	0.0019436914	0.006	5632	tags=52%, list=27%, signal=72%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	242	0.38006273	1.8684496	0.0	0.0018194692	0.007	4904	tags=38%, list=24%, signal=49%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	227	0.36690947	1.7795961	0.0	0.0030391845	0.014	6666	tags=46%, list=32%, signal=68%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	240	0.3623741	1.7787654	0.0	0.0026050152	0.014	4978	tags=35%, list=24%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	238	0.35614112	1.759713	0.0	0.0025765523	0.016	4579	tags=34%, list=22%, signal=43%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	207	0.3533318	1.70391	0.0	0.003986516	0.028	4014	tags=33%, list=20%, signal=41%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	228	0.34036332	1.651091	0.0	0.0066484855	0.052	4975	tags=39%, list=24%, signal=50%	
