NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	185	0.53891176	3.1287875	0.0	0.0	0.0	3801	tags=63%, list=28%, signal=86%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	171	0.4748643	2.763625	0.0	0.0	0.0	2421	tags=49%, list=18%, signal=58%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	166	0.44919497	2.5729628	0.0	0.0	0.0	3106	tags=50%, list=23%, signal=64%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	144	0.4529196	2.5510707	0.0	0.0	0.0	3236	tags=53%, list=24%, signal=68%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	182	0.42607656	2.4627123	0.0	0.0	0.0	3535	tags=52%, list=26%, signal=69%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	60	0.5029583	2.3735409	0.0	0.0	0.0	3314	tags=53%, list=24%, signal=70%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	99	0.46219733	2.3560827	0.0	0.0	0.0	3246	tags=54%, list=24%, signal=70%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	130	0.40164497	2.2583768	0.0	0.0	0.0	3596	tags=51%, list=26%, signal=68%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	0.5060354	2.1999314	0.0	0.0	0.0	4248	tags=72%, list=31%, signal=104%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	93	0.40939546	2.1242547	0.0	0.0	0.0	3105	tags=49%, list=23%, signal=64%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	163	0.35343572	2.0327852	0.0	3.140496E-4	0.001	2421	tags=38%, list=18%, signal=46%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	184	0.34181172	1.949992	0.0	4.741533E-4	0.002	3071	tags=41%, list=22%, signal=52%	
