NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	185	0.5282435	2.9332032	0.0	0.0	0.0	3754	tags=61%, list=28%, signal=83%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	171	0.46170062	2.5720737	0.0	0.0	0.0	2373	tags=46%, list=17%, signal=55%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	166	0.4561616	2.5570652	0.0	0.0	0.0	3675	tags=57%, list=27%, signal=78%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	98	0.48295382	2.4351199	0.0	0.0	0.0	3270	tags=52%, list=24%, signal=68%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	143	0.44977143	2.4243836	0.0	0.0	0.0	3262	tags=52%, list=24%, signal=68%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	182	0.43448868	2.4137762	0.0	0.0	0.0	3278	tags=50%, list=24%, signal=65%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	128	0.42535654	2.2727742	0.0	4.5054947E-4	0.001	2712	tags=42%, list=20%, signal=52%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	58	0.4959097	2.2703254	0.0	3.9423082E-4	0.001	2431	tags=40%, list=18%, signal=48%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	183	0.37302095	2.067633	0.0	3.5042738E-4	0.001	3290	tags=42%, list=24%, signal=54%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	150	0.37909397	2.0635226	0.0	5.565611E-4	0.002	3639	tags=50%, list=27%, signal=68%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	91	0.38523003	1.9509528	0.0	5.059646E-4	0.002	3083	tags=45%, list=23%, signal=58%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	160	0.33938387	1.8667353	0.0	0.002142098	0.008	2716	tags=38%, list=20%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	0.44627726	1.79575	0.0026385225	0.0037247636	0.016	3114	tags=49%, list=23%, signal=63%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	182	0.3193674	1.7921933	0.0	0.0036539475	0.017	2804	tags=34%, list=21%, signal=42%	
FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	Details ...	60	0.38992938	1.7772803	0.003030303	0.004329597	0.022	3290	tags=45%, list=24%, signal=59%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	154	0.30965644	1.6801212	0.0	0.008505476	0.047	3299	tags=38%, list=24%, signal=50%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	159	0.29805318	1.6498207	0.0	0.009571366	0.055	3151	tags=38%, list=23%, signal=49%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	185	0.2863081	1.6220775	0.0	0.011123025	0.066	2971	tags=35%, list=22%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	157	0.29401195	1.6081717	0.0	0.011474996	0.071	3267	tags=38%, list=24%, signal=49%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	0.34519815	1.5997891	0.0060975607	0.011581266	0.076	3755	tags=40%, list=28%, signal=56%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		160	0.2852728	1.5655272	0.003921569	0.015541877	0.108	3106	tags=36%, list=23%, signal=46%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		160	0.28770542	1.5618623	0.0	0.015242925	0.112	3353	tags=38%, list=25%, signal=49%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		123	0.2908032	1.5416632	0.0	0.016614849	0.127	3367	tags=38%, list=25%, signal=50%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		23	0.40782014	1.4449027	0.07	0.034262504	0.252	4171	tags=61%, list=31%, signal=88%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		32	0.3625289	1.397425	0.07124682	0.046805043	0.339	2529	tags=38%, list=19%, signal=46%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		129	0.259141	1.3592911	0.033670034	0.06085746	0.433	3784	tags=40%, list=28%, signal=54%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		163	0.24721505	1.3524357	0.007194245	0.061690945	0.443	4175	tags=45%, list=31%, signal=64%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		105	0.26179543	1.325667	0.04733728	0.069767974	0.494	3952	tags=43%, list=29%, signal=60%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		167	0.23516868	1.3234754	0.031007752	0.069029674	0.504	2441	tags=28%, list=18%, signal=34%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	0.22535719	1.2090399	0.08461539	0.16018137	0.816	3496	tags=32%, list=26%, signal=42%	
