NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	186	-0.6034351	-2.8804872	0.0	0.0	0.0	3180	tags=65%, list=23%, signal=84%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	186	-0.57050604	-2.7076097	0.0	0.0	0.0	3127	tags=57%, list=23%, signal=73%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	98	-0.44489408	-1.9635191	0.0	2.039498E-4	0.002	3468	tags=46%, list=25%, signal=61%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	187	-0.37617183	-1.8170664	0.0	9.584866E-4	0.012	3245	tags=38%, list=24%, signal=49%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	32	-0.46337295	-1.6676528	0.009776536	0.004559136	0.067	1281	tags=31%, list=9%, signal=34%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	141	-0.350493	-1.6316415	0.0	0.0058619506	0.102	4765	tags=48%, list=35%, signal=73%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.3994586	-1.6175156	0.004048583	0.0055614607	0.113	4939	tags=54%, list=36%, signal=85%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	136	-0.2848885	-1.3143721	0.048635826	0.10588973	0.938	2859	tags=32%, list=21%, signal=40%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	183	-0.22306412	-1.0736519	0.325	0.48122323	1.0	5460	tags=46%, list=40%, signal=75%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	-0.29309016	-1.0668036	0.3465909	0.44809064	1.0	2953	tags=29%, list=22%, signal=36%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	134	-0.17958225	-0.8340069	0.79808843	0.93516237	1.0	3024	tags=24%, list=22%, signal=30%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.17927158	-0.7967524	0.8339529	0.9242621	1.0	4758	tags=35%, list=35%, signal=53%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	92	-0.14279756	-0.617887	0.99008673	0.98956114	1.0	2875	tags=17%, list=21%, signal=22%	
